y,value
0,31
1,28
2,13
3,10
4,10
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,9
16,8
17,8
18,8
19,8
20,9
21,9
22,8
23,9
24,9
25,8
26,9
27,8
28,9
29,9
30,10
31,10
32,15
33,35
34,37
35,17
36,11
37,9
38,7
39,6
40,5
41,4
42,4
43,3
44,3
