x,value
0,8
1,21
2,26
3,26
4,28
5,32
6,34
7,35
8,24
9,18
10,15
11,14
12,13
13,13
14,13
15,10
16,11
17,11
18,12
19,12
20,13
21,12
22,13
23,15
24,17
25,19
26,24
27,35
28,33
29,31
30,27
31,25
32,20
33,13
34,1
