x,value
0,2
1,2
2,13
3,12
4,8
5,6
6,6
7,6
8,4
9,5
10,7
11,7
12,8
13,9
14,10
15,11
16,14
17,19
18,23
19,30
20,31
21,29
22,27
23,23
24,19
25,9
26,4
