y,value
0,27
1,26
2,16
3,14
4,12
5,11
6,11
7,11
8,11
9,10
10,11
11,10
12,10
13,9
14,7
15,7
16,8
17,7
18,9
19,11
20,11
21,10
22,10
23,11
24,11
25,10
26,11
27,10
28,11
29,11
30,11
31,12
32,16
33,25
34,28
