x,value
0,4
1,11
2,13
3,14
4,16
5,15
6,16
7,18
8,15
9,12
10,11
11,11
12,11
13,10
14,10
15,11
16,11
17,12
18,11
19,12
20,15
21,15
22,17
23,22
24,29
25,27
26,24
27,20
28,16
29,6
