x,value
0,1
1,1
2,1
3,2
4,3
5,4
6,7
7,9
8,12
9,14
10,18
11,20
12,22
13,20
14,20
15,21
16,24
17,35
18,32
19,29
20,27
21,25
22,27
23,11
24,9
25,9
26,10
27,10
28,10
29,10
30,12
31,10
32,7
33,5
34,3
35,2
36,1
37,1
38,1
