x,value
0,2
1,2
2,4
3,4
4,4
5,9
6,51
7,52
8,52
9,52
10,53
11,53
12,11
13,9
14,8
15,8
16,6
17,8
18,7
19,6
20,7
21,8
22,9
23,9
24,9
25,11
26,13
27,15
28,19
29,26
30,30
31,28
32,25
33,23
34,19
35,13
