x,value
0,2
1,2
2,4
3,4
4,6
5,11
6,35
7,35
8,35
9,35
10,35
11,35
12,7
13,7
14,6
15,6
16,7
17,8
18,10
19,10
20,11
21,13
22,15
23,20
24,25
25,31
26,30
27,27
28,24
29,21
30,11
31,8
