y,value
0,8
1,16
2,16
3,13
4,12
5,11
6,10
7,9
8,8
9,9
10,8
11,8
12,7
13,6
14,7
15,7
16,8
17,9
18,9
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,8
29,8
30,9
31,10
32,11
33,13
34,18
35,14
36,9
