x,value
0,2
1,4
2,4
3,4
4,7
5,35
6,35
7,35
8,35
9,35
10,35
11,13
12,8
13,7
14,7
15,6
16,5
17,4
18,3
19,3
20,3
21,5
22,6
23,8
24,8
25,9
26,18
27,35
28,35
29,35
30,35
31,35
32,35
33,6
34,4
35,4
36,2
37,2
