x,value
0,2
1,2
2,2
3,3
4,4
5,9
6,35
7,35
8,35
9,35
10,35
11,35
12,8
13,6
14,4
15,4
16,4
17,2
18,2
19,2
20,2
21,2
22,4
23,4
24,4
25,6
26,8
27,35
28,35
29,35
30,36
31,36
32,37
33,10
34,7
35,6
36,9
37,12
