y,value
0,6
1,10
2,11
3,12
4,13
5,14
6,13
7,13
8,14
9,15
10,9
11,0
12,0
13,0
14,0
15,0
16,0
17,33
18,27
19,18
20,14
21,14
22,13
23,12
24,13
25,14
26,15
27,16
28,15
29,15
30,15
31,15
32,15
33,15
34,15
35,15
36,15
37,15
38,15
39,15
40,15
41,15
42,15
43,14
44,13
45,13
46,13
47,14
48,14
49,18
50,27
51,33
