x,value
0,2
1,4
2,4
3,4
4,8
5,35
6,35
7,35
8,35
9,35
10,35
11,5
12,4
13,4
14,4
15,3
16,2
17,2
18,2
19,2
20,2
21,3
22,4
23,4
24,4
25,5
26,35
27,35
28,35
29,35
30,35
31,35
32,10
33,6
34,4
35,4
36,2
37,2
