x,value
0,11
1,18
2,22
3,25
4,27
5,23
6,18
7,17
8,14
9,14
10,12
11,12
12,13
13,12
14,12
15,12
16,11
17,12
18,12
19,12
20,14
21,17
22,17
23,17
24,16
25,15
26,13
27,13
28,9
