x,value
0,2
1,4
2,4
3,5
4,7
5,9
6,12
7,15
8,15
9,16
10,17
11,17
12,19
13,19
14,17
15,16
16,11
17,11
18,10
19,13
20,14
21,18
22,18
23,20
24,23
25,20
26,18
27,15
28,13
29,10
30,8
31,7
32,5
33,3
34,2
35,2
36,1
