x,value
0,1
1,8
2,7
3,5
4,4
5,3
6,3
7,3
8,3
9,4
10,4
11,4
12,5
13,8
14,35
15,35
16,35
17,35
18,35
19,35
20,5
21,4
22,4
23,4
24,4
25,3
26,4
27,3
28,3
29,4
30,5
31,8
32,5
