y,value
0,23
1,22
2,19
3,18
4,18
5,18
6,12
7,9
8,9
9,8
10,9
11,8
12,9
13,9
14,10
15,14
16,15
17,13
18,13
19,14
20,13
21,13
22,13
23,13
24,14
25,13
26,14
27,13
28,13
29,15
30,14
31,15
32,17
33,24
34,29
