x,value
0,2
1,4
2,4
3,4
4,7
5,35
6,35
7,35
8,35
9,35
10,35
11,10
12,7
13,7
14,6
15,5
16,6
17,7
18,6
19,6
20,8
21,8
22,8
23,12
24,17
25,16
26,15
27,14
28,12
29,10
30,7
