x,value
0,1
1,2
2,4
3,4
4,5
5,9
6,52
7,53
8,53
9,54
10,54
11,54
12,6
13,4
14,4
15,4
16,4
17,4
18,3
19,4
20,3
21,5
22,6
23,7
24,8
25,10
26,17
27,35
28,35
29,34
30,33
31,31
32,26
33,3
34,2
35,2
36,1
37,1
