y,value
0,8
1,13
2,14
3,11
4,11
5,12
6,12
7,12
8,12
9,12
10,11
11,10
12,5
13,5
14,5
15,6
16,6
17,6
18,7
19,7
20,7
21,7
22,8
23,8
24,9
25,10
26,11
27,11
28,13
29,13
30,17
31,22
32,20
33,18
34,15
35,12
36,7
