y,value
0,34
1,27
2,18
3,14
4,13
5,13
6,13
7,12
8,12
9,12
10,12
11,12
12,12
13,12
14,12
15,12
16,28
17,28
18,14
19,12
20,12
21,12
22,12
23,12
24,12
25,12
26,12
27,12
28,12
29,13
30,14
31,14
32,18
33,27
34,34
