x,value
0,4
1,4
2,4
3,6
4,7
5,35
6,35
7,35
8,35
9,35
10,35
11,35
12,6
13,5
14,5
15,5
16,5
17,4
18,4
19,4
20,2
21,2
22,2
23,3
24,3
25,4
26,5
27,8
28,8
29,1
