x,value
0,1
1,5
2,7
3,9
4,10
5,12
6,12
7,14
8,16
9,17
10,18
11,19
12,19
13,18
14,16
15,13
16,11
17,8
18,9
19,8
20,6
21,8
22,10
23,35
24,35
25,35
26,35
27,35
28,35
29,14
30,8
31,6
32,6
33,8
34,8
35,9
36,12
37,14
38,18
39,19
40,19
41,19
42,18
43,16
44,15
45,13
46,12
47,11
48,10
49,7
50,7
51,2
