y,value
0,7
1,13
2,16
3,18
4,21
5,22
6,17
7,14
8,12
9,11
10,11
11,10
12,9
13,8
14,6
15,7
16,7
17,6
18,6
19,6
20,6
21,5
22,5
23,29
24,29
25,13
26,11
27,11
28,12
29,11
30,10
31,11
32,11
33,11
34,11
35,14
36,8
