x,value
0,2
1,2
2,4
3,4
4,6
5,11
6,35
7,35
8,35
9,35
10,35
11,35
12,8
13,6
14,6
15,6
16,8
17,9
18,10
19,13
20,15
21,17
22,18
23,19
24,17
25,17
26,16
27,15
28,13
29,13
30,11
31,10
32,7
33,7
34,2
35,1
