x,value
0,8
1,15
2,20
3,24
4,26
5,29
6,24
7,16
8,13
9,11
10,10
11,8
12,8
13,8
14,7
15,9
16,7
17,9
18,11
19,33
20,35
21,35
22,35
23,34
24,32
25,7
26,4
27,3
28,3
29,3
30,3
