y,value
0,33
1,27
2,18
3,14
4,13
5,13
6,13
7,13
8,14
9,15
10,16
11,15
12,16
13,15
14,15
15,15
16,15
17,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
25,14
26,13
27,13
28,13
29,13
30,14
31,15
32,17
33,27
34,33
