x,value
0,2
1,2
2,4
3,4
4,6
5,35
6,35
7,35
8,35
9,35
10,35
11,16
12,8
13,6
14,6
15,4
16,4
17,2
18,2
19,2
20,2
21,4
22,4
23,6
24,6
25,8
26,12
27,35
28,35
29,35
30,35
31,35
32,35
33,6
34,4
35,4
36,4
37,2
