y,value
0,8
1,13
2,15
3,12
4,13
5,13
6,12
7,12
8,13
9,12
10,14
11,13
12,14
13,14
14,14
15,13
16,13
17,13
18,13
19,14
20,14
21,14
22,13
23,13
24,14
25,13
26,12
27,14
28,12
29,12
30,13
31,12
32,12
33,13
34,18
35,14
36,8
