x,value
0,11
1,18
2,22
3,25
4,27
5,23
6,23
7,24
8,22
9,22
10,20
11,20
12,19
13,15
14,12
15,12
16,11
17,12
18,12
19,16
20,20
21,25
22,25
23,25
24,24
25,21
26,17
27,13
28,9
