x,value
0,2
1,2
2,2
3,4
4,7
5,35
6,35
7,35
8,35
9,35
10,35
11,8
12,6
13,4
14,5
15,7
16,9
17,10
18,13
19,15
20,16
21,19
22,17
23,18
24,17
25,16
26,15
27,14
28,13
29,12
30,11
31,11
32,10
33,7
34,11
