x,value
0,2
1,2
2,4
3,4
4,6
5,11
6,35
7,35
8,11
9,10
10,13
11,15
12,16
13,16
14,15
15,15
16,16
17,15
18,15
19,15
20,15
21,14
22,10
23,7
24,5
25,6
26,6
27,6
28,6
29,7
30,7
31,8
32,7
33,9
34,13
35,35
36,35
37,35
38,35
39,35
40,35
41,6
42,4
43,4
44,3
45,2
