x,value
0,2
1,3
2,4
3,4
4,4
5,8
6,35
7,35
8,35
9,35
10,35
11,35
12,5
13,4
14,4
15,4
16,3
17,2
18,2
19,2
20,2
21,2
22,3
23,3
24,3
25,4
26,5
27,7
28,10
29,5
