x,value
0,1
1,2
2,2
3,3
4,17
5,19
6,20
7,20
8,21
9,21
10,12
11,7
12,6
13,5
14,4
15,4
16,3
17,2
18,3
19,5
20,7
21,6
22,7
23,8
24,35
25,35
26,35
27,35
28,35
29,35
30,10
31,6
32,4
33,4
34,2
35,2
