x,value
0,2
1,2
2,4
3,4
4,6
5,35
6,35
7,40
8,43
9,43
10,44
11,26
12,18
13,14
14,12
15,8
16,7
17,6
18,6
19,6
20,5
21,7
22,8
23,11
24,13
25,17
26,22
27,44
28,43
29,42
30,40
31,35
32,35
33,6
34,4
35,4
36,4
37,2
