x,value
0,2
1,4
2,4
3,4
4,6
5,35
6,35
7,35
8,35
9,35
10,35
11,11
12,7
13,6
14,6
15,4
16,2
17,2
18,2
19,2
20,9
21,16
22,20
23,23
24,26
25,28
26,30
27,19
28,15
29,11
30,10
31,8
32,7
33,7
34,7
35,5
36,5
37,6
38,6
39,6
40,6
41,6
42,8
43,10
44,12
45,16
46,26
47,29
48,27
49,24
50,22
51,18
52,13
