char;q1;q2;q3;q4;uq1;uq2;uq3;uq4;x_cg;y_cg;x_cg_norm;y_cg_norm;Ix;Iy;Ix_norm;Iy_norm
ё;38;55;88;62;0.2375;0.34375;0.55;0.3875;9.786008230452675;17.7119341563786;0.4660003919263178;0.5367252774660182;7250.87242798354;21847.8353909465;0.0676620888551416;0.08256087017177574
і;20;28;40;58;0.18518518518518517;0.25925925925925924;0.37037037037037035;0.5370370370370371;5.917808219178082;21.335616438356166;0.45521601685985247;0.5926560121765602;435.013698630137;15212.554794520545;0.017630449000167667;0.08039782467931118
а;38;51;59;61;0.3140495867768595;0.4214876033057851;0.48760330578512395;0.5041322314049587;10.440191387559809;11.913875598086124;0.4745541539799913;0.5179945912211358;6569.502392344497;10278.44976076555;0.06494426818324664;0.09296632411759617
б;65;71;87;78;0.30092592592592593;0.3287037037037037;0.4027777777777778;0.3611111111111111;11.548172757475083;17.963455149501662;0.4619269102990033;0.49898486526393504;14702.55149501661;33086.59800664451;0.07815309764792883;0.08481655286556261
в;59;53;63;66;0.48760330578512395;0.4380165289256198;0.5206611570247934;0.5454545454545454;10.908713692946058;11.120331950207468;0.495850622406639;0.48349269348728124;8031.991701244813;12145.510373443984;0.06885902147769977;0.09526712401418148
г;52;27;56;2;0.4727272727272727;0.24545454545454545;0.509090909090909;0.01818181818181818;8.145985401459853;9.233576642335766;0.3879040667361835;0.40145985401459855;2557.080291970803;8268.525547445257;0.04232385408032181;0.11409111734639461
д;32;70;47;64;0.17582417582417584;0.38461538461538464;0.25824175824175827;0.3516483516483517;14.690140845070422;13.107981220657276;0.5650054171180932;0.4519993524364578;9371.54929577465;15948.516431924883;0.06508562724514995;0.08903170511254142
е;43;58;60;36;0.39090909090909093;0.5272727272727272;0.5454545454545454;0.32727272727272727;9.48730964467005;11.187817258883248;0.45177664974619286;0.48642683734274994;6131.218274111675;9200.05076142132;0.07057354966345149;0.08828121982306737
ж;72;71;93;93;0.36363636363636365;0.35858585858585856;0.4696969696969697;0.4696969696969697;17.407294832826747;11.285714285714286;0.48353596757852074;0.49068322981366463;24221.422492401216;17739.14285714286;0.056806593334649554;0.10192508005092397
з;27;52;13;61;0.2727272727272727;0.5252525252525253;0.13131313131313133;0.6161616161616161;11.34640522875817;10.294117647058824;0.5971792225662195;0.44757033248081846;3300.6405228758167;8471.764705882353;0.059758487188380435;0.10467109858139483
и;54;64;69;59;0.3776223776223776;0.44755244755244755;0.4825174825174825;0.4125874125874126;12.426829268292684;11.024390243902438;0.4779549718574109;0.4793213149522799;12174.182926829268;12833.853658536585;0.07320791195716835;0.09862029645239972
й;63;62;89;89;0.2850678733031674;0.28054298642533937;0.40271493212669685;0.40271493212669685;12.425742574257425;18.48184818481848;0.4779131759329779;0.5435837701417201;13682.079207920793;29447.650165016505;0.06679789485773817;0.08407176837454892
