char;q1;q2;q3;q4;uq1;uq2;uq3;uq4;x_cg;y_cg;x_cg_norm;y_cg_norm;Ix;Iy;Ix_norm;Iy_norm
к;60;38;65;59;0.45454545454545453;0.2878787878787879;0.49242424242424243;0.44696969696969696;10.472972972972974;11.324324324324325;0.4363738738738739;0.49236192714453586;7553.3378378378375;12016.64864864865;0.059069521379487594;0.10232334209241174
л;27;60;42;59;0.20454545454545456;0.45454545454545453;0.3181818181818182;0.44696969696969696;13.819148936170214;11.164893617021276;0.5527659574468086;0.4854301572617946;7629.8510638297885;11759.888297872341;0.06493490267089182;0.1182468758584276
м;72;65;74;74;0.43636363636363634;0.3939393939393939;0.4484848484848485;0.4484848484848485;15.235087719298246;11.035087719298245;0.4914544425580079;0.47978642257818455;20725.24912280702;13407.649122807015;0.07567135521407532;0.08893078050480559
н;59;59;63;63;0.4125874125874126;0.4125874125874126;0.4405594405594406;0.4405594405594406;12.434426229508198;10.959016393442623;0.47824716267339223;0.4764789736279401;12147.95081967213;12697.590163934427;0.07364894036565217;0.09837297533185431
о;46;54;60;50;0.3484848484848485;0.4090909090909091;0.45454545454545453;0.3787878787878788;11.452380952380953;10.99047619047619;0.4771825396825397;0.47784679089026916;10716.02380952381;8881.980952380953;0.08859146667926429;0.07995301964516116
п;60;59;58;58;0.4195804195804196;0.4125874125874126;0.40559440559440557;0.40559440559440557;12.425531914893616;10.519148936170213;0.4779050736497545;0.45735430157261797;12027.446808510638;13796.663829787234;0.07571098330927004;0.110981489199109
р;79;94;85;26;0.3574660633484163;0.4253393665158371;0.38461538461538464;0.11764705882352941;12.221830985915492;13.721830985915492;0.47007042253521125;0.4035832642916321;13197.024647887323;27137.02464788732;0.06874023172705707;0.08265822118489972
с;37;34;61;35;0.33636363636363636;0.3090909090909091;0.5545454545454546;0.3181818181818182;8.652694610778443;11.838323353293413;0.4120330767037354;0.5147097110127571;5233.856287425149;8704.63473053892;0.071066795489635;0.09853225191060888
т;44;46;29;32;0.36363636363636365;0.38016528925619836;0.2396694214876033;0.2644628099173554;10.728476821192054;8.940397350993377;0.4664555139648719;0.3887129283040599;2979.8675496688743;9280.463576158942;0.03730476783220714;0.11618151924985218
у;82;52;54;20;0.37104072398190047;0.23529411764705882;0.24434389140271492;0.09049773755656108;10.927884615384615;13.802884615384615;0.4203032544378698;0.40596719457013575;6669.9182692307695;23060.918269230773;0.04743626443183012;0.0959081309440327
ф;102;91;117;110;0.2956521739130435;0.263768115942029;0.3391304347826087;0.3188405797101449;14.102380952380953;23.783333333333335;0.4700793650793651;0.5060283687943262;24308.59761904762;53279.28333333334;0.06430845930964979;0.05742663490626371
х;61;33;38;63;0.42657342657342656;0.23076923076923078;0.26573426573426573;0.4405594405594406;12.082051282051282;10.907692307692308;0.46469428007889546;0.474247491638796;5760.68717948718;11284.33846153846;0.04370116203525399;0.10939206496571625
ц;66;66;52;69;0.3626373626373626;0.3626373626373626;0.2857142857142857;0.3791208791208791;13.217391304347826;12.383399209486166;0.5083612040133779;0.4270137658443506;14137.04347826087;16561.810276679844;0.08265923403337974;0.07783793186485054
ч;53;56;20;66;0.3706293706293706;0.3916083916083916;0.13986013986013987;0.46153846153846156;13.938461538461539;9.333333333333334;0.5360946745562131;0.4057971014492754;7741.261538461538;9321.333333333336;0.05872600165727157;0.09036239962515957
ш;81;80;96;96;0.3875598086124402;0.3827751196172249;0.45933014354066987;0.45933014354066987;18.48441926345609;11.55240793201133;0.4864320858804234;0.5022786057396231;40654.164305949;20647.280453257794;0.07975595863306405;0.11056877026651277
щ;99;98;78;92;0.37218045112781956;0.3684210526315789;0.2932330827067669;0.3458646616541353;19.149863760217983;12.049046321525886;0.5039437831636311;0.4154843559146857;44772.757493188015;22965.117166212534;0.08448519004352882;0.07440576829262081
ъ;69;10;57;72;0.4825174825174825;0.06993006993006994;0.3986013986013986;0.5034965034965035;12.629807692307692;12.033653846153847;0.4857618343195266;0.5232023411371237;7838.495192307693;10596.764423076922;0.0557471494673681;0.09630620567722956
ы;63;55;84;102;0.35795454545454547;0.3125;0.4772727272727273;0.5795454545454546;15.80921052631579;12.12828947368421;0.47906698564593303;0.5273169336384439;26812.934210526317;15441.996710526315;0.08099214093847058;0.09602276334771612
ь;57;6;63;65;0.47107438016528924;0.049586776859504134;0.5206611570247934;0.5371900826446281;9.471204188481675;12.842931937172775;0.43050928129462157;0.5583883450944684;5749.591623036649;8715.287958115183;0.062195400707851775;0.08625667275126617
э;27;57;16;54;0.24545454545454545;0.5181818181818182;0.14545454545454545;0.4909090909090909;12.448051948051948;10.077922077922079;0.5927643784786641;0.4381705251270469;4208.084415584415;7529.064935064935;0.06196195799959383;0.09241972031356559
ю;85;72;93;80;0.4292929292929293;0.36363636363636365;0.4696969696969697;0.40404040404040403;17.496969696969696;11.021212121212121;0.47289107289107285;0.47918313570487486;38170.496969696964;15048.851515151513;0.0844909953509462;0.08620525585811717
я;53;58;51;68;0.4015151515151515;0.4393939393939394;0.38636363636363635;0.5151515151515151;12.647826086956522;10.92608695652174;0.5269927536231884;0.4750472589792061;6478.473913043478;11595.74347826087;0.048901524102079395;0.09530486955092357
ғ;57;31;61;6;0.5181818181818182;0.2818181818181818;0.5545454545454546;0.05454545454545454;8.038709677419355;9.380645161290323;0.3827956989247312;0.40785413744740534;2921.767741935484;8298.54193548387;0.04274402372811768;0.10120790213407976
қ;80;55;47;60;0.47619047619047616;0.3273809523809524;0.27976190476190477;0.35714285714285715;11.214876033057852;11.698347107438016;0.4672865013774105;0.40339127956682813;9408.826446280993;14316.979338842975;0.0674990418839029;0.07034610184079841
ң;76;76;46;63;0.4175824175824176;0.4175824175824176;0.25274725274725274;0.34615384615384615;13.160919540229886;11.831417624521073;0.5061892130857648;0.40797991808693357;14163.241379310344;15612.582375478927;0.08027410153999379;0.07112761388548994
ү;86;46;46;42;0.3891402714932127;0.2081447963800905;0.2081447963800905;0.19004524886877827;11.8;14.35909090909091;0.4538461538461539;0.4223262032085562;5425.200000000001;25252.631818181813;0.036479289940828406;0.09929471460436384
ұ;86;46;68;64;0.3891402714932127;0.2081447963800905;0.3076923076923077;0.2895927601809955;11.916666666666666;15.549242424242424;0.4583333333333333;0.4573306595365419;8358.166666666668;27133.359848484848;0.04683390861275477;0.08890819914702228
һ;81;30;85;83;0.34615384615384615;0.1282051282051282;0.36324786324786323;0.3547008547008547;11.050179211469533;20.810035842293907;0.4250068927488282;0.5780565511748308;12631.297491039426;27496.93189964157;0.06697258536955433;0.07604576502179734
ә;29;61;56;55;0.2636363636363636;0.5545454545454546;0.509090909090909;0.5;10.900497512437811;10.81592039800995;0.5190713101160862;0.4702574086091283;6470.0099502487565;9240.18905472637;0.07299116605463336;0.08690187112383611
ө;52;60;67;57;0.3939393939393939;0.45454545454545453;0.5075757575757576;0.4318181818181818;11.48728813559322;11.008474576271187;0.4786370056497175;0.4786293294030951;10946.96186440678;9083.983050847459;0.08053026324451786;0.07276267222171237
